user,date,text,latitude,longitude
Roebucknw3,Tue Aug 13 12:28:21 +0000 2019,188th Birthday Celebration  from 19-20th September  book your table and let's party! #Pubexplorer #londonpub… https://t.co/B4JzJxjtqx,51.50711486,-0.12731805
We_love_vintage,Tue Aug 13 12:27:11 +0000 2019,Last 3 Burberry macs/trench coats left from the latest drop | All live on our @asosmarketplace boutique right NOW |… https://t.co/bS5CTvuPgS,51.50711486,-0.12731805
iam_kzh,Tue Aug 13 12:20:58 +0000 2019,I've seen this musical two times in Japan. But first time thelionkinguk 🦁 Phenomenal stage  amazing talented cast a… https://t.co/GyZMFI3R47,51.5116,-0.11975
JojoDesmond,Tue Aug 13 12:18:25 +0000 2019,"TONIGNT 100wardourst #soholondon I’m performing with full band #ibizaclubclassics from 8pm 
FREE ENTRY… https://t.co/jqqIfQoMlt",51.51359483,-0.13388221
Nv62x,Tue Aug 13 12:17:50 +0000 2019,I'm at @TheLondonEye in Lambeth  Greater London https://t.co/QcwMfhBjoz,51.50328655,-0.11959434
raissafolly,Tue Aug 13 12:14:42 +0000 2019,🔴 em London  United Kingdom https://t.co/mnQn5yBIWO,51.50711486,-0.12731805
tmj_lon_jobs,Tue Aug 13 12:11:16 +0000 2019,If you're looking for work in #London  England  check out this job: https://t.co/Xgr777cQsm,51.5073509,-0.1277583
lugabreeel,Tue Aug 13 12:09:35 +0000 2019,Just posted a photo @ London  United Kingdom https://t.co/kmZxPcwiKW,51.50711486,-0.12731805
lugabreeel,Tue Aug 13 12:08:49 +0000 2019,Just posted a photo @ London  United Kingdom https://t.co/1EurZjwjUN,51.50711486,-0.12731805
tmj_lon_art,Tue Aug 13 12:06:35 +0000 2019,This job might be a great fit for you: Interior Designer - https://t.co/PnOUveLHaN #InteriorDesign #London,51.5073509,-0.1277583
scommunitygroup,Tue Aug 13 12:06:22 +0000 2019,"Hello Everyone 😊 Here's a brief introduction about our SEA programme:
.
↘️
.

The Sapphire Employability Academy (S… https://t.co/8iEZyH9UPz",51.50711486,-0.12731805
rwkimani,Tue Aug 13 12:04:40 +0000 2019,Off day visit to London City. Ready to meet Johnson to hold consultations for the benefits of our two nations.… https://t.co/hMdPqaERLv,51.50097,-0.12432
DjazziFizou,Tue Aug 13 12:04:32 +0000 2019,LONDON VIBES à London  United Kingdom https://t.co/8GbF6MBPAh,51.50711486,-0.12731805
MohamedMoshaya,Tue Aug 13 12:03:54 +0000 2019,"سبب وجود القوانين بين الأخوة 😅 نزل الفلوق 🔥

The reasons why there are rules 😂

#عائلة_مشيع #moshayafamily @ London… https://t.co/cOsXdvhvXF",51.50711486,-0.12731805
wonuadefala,Tue Aug 13 12:03:44 +0000 2019,"Another Testimony
⠀
“Gosh I’m not sure where to begin.
⠀
From attending the conference last year  I knew it was an… https://t.co/60V1FAgb0r",51.50711486,-0.12731805
Kidspeopleuk,Tue Aug 13 12:01:56 +0000 2019,"Excited to be part of Cath Kidston storytime this week! 
.
.
.
.
.
.
#kidspeople #experientialmarketing #events… https://t.co/eaVBaN9g0O",51.51004678,-0.13420392
DENNISBRANKO,Tue Aug 13 12:01:55 +0000 2019,Dylan dylan.i.j  London 📷 #portraitphotography #portrait #london #dennisbranko @ London  United Kingdom https://t.co/60OcvMZVOi,51.50711486,-0.12731805
GeorgiaEinstein,Tue Aug 13 11:59:39 +0000 2019,Be your own #superhero #selfmotivation #london #summer #urban #fit Wakeup🙋🏾‍♀️ #workout #cardio #heart #core stabil… https://t.co/pQV2FWekI9,51.50711486,-0.12731805
danenogoy,Tue Aug 13 11:59:03 +0000 2019,Not your ordinary views @ London  United Kingdom https://t.co/SvXXEpiURT,51.50711486,-0.12731805
resident1,Tue Aug 13 11:58:42 +0000 2019,Greetings from Airstreet 🇬🇧 @ Air Street https://t.co/zARcqfT9Ag,51.51062,-0.1366
wonuadefala,Tue Aug 13 11:58:18 +0000 2019,Omowonuola Adefala who by faith [that is  with an enduring trust in God and His promises] subdued kingdoms  adminis… https://t.co/UujO3b8T2F,51.50711486,-0.12731805
_xpandicorn_,Tue Aug 13 11:58:10 +0000 2019,🌿🍃🌱 @ St James's Park https://t.co/E0nXu6SRNq,51.50166667,-0.13194444
iam_kzh,Tue Aug 13 11:57:50 +0000 2019,"Finally one of my dreams came true. Saw #AladdinLondon with front row seats. 
What a MAGICAL time I had 🕌💙🧞‍♂️ I am… https://t.co/UVmOhr2Ipn",51.51359537,-0.13069342
camidesouza,Tue Aug 13 11:57:45 +0000 2019,Segunda parada: London 🏴󠁧󠁢󠁥󠁮󠁧󠁿❤️ em London Eye River Cruise https://t.co/NiB8tVcTQo,51.50324047,-0.12023321
diminicolaides,Tue Aug 13 11:57:00 +0000 2019,"What a great week!#.
.
.
.
#hotchilleeridecaptains #hotchillee #racerideconquer #inmyelemnt #wahooligan #rawvelo… https://t.co/5zLsuOj2dV",51.50711486,-0.12731805
DJ_BBQ,Tue Aug 13 11:56:15 +0000 2019,The godson and godfather arrived!!!!  Good hangs with @elliottchaffer and family. Love ya’ll. #liquidsunshine #bbq… https://t.co/TMUWNcqyYY,51.50711486,-0.12731805
nataliejayne420,Tue Aug 13 11:54:01 +0000 2019,"💋💋💋💋 
📸 eromotions 
@victoriassecret 
:
:
:
:
#hotelshootings #hotelroom #model #londonmodels #dmtoshoot… https://t.co/j9nth5ke8H",51.50711486,-0.12731805
shabbadan,Tue Aug 13 11:53:06 +0000 2019,This weekend 🔥 @sasasasdnb live in Austria 🇦🇹 ⛽️ #drumandbass #vibesgang #music #powerhour @ London  United Kingdom https://t.co/9lpbgrWtlR,51.50711486,-0.12731805
StuLaurieWriter,Tue Aug 13 11:52:08 +0000 2019,Rocking #jurassicpark today whilst working on Deal Memos and pre production emails. #producer #production #film… https://t.co/3neOymOJek,51.50711486,-0.12731805
Noceuurr,Tue Aug 13 11:50:48 +0000 2019,I'm at Govent Garden in London  England https://t.co/QelhjFLfgK,51.511953,-0.122631
LilsibWinnie,Tue Aug 13 11:49:40 +0000 2019,"Ladies and Gentleman  may I present the latest addition to the House of Wincott. A glorious knitting machine! 
🧶
Th… https://t.co/WZwuJfK9Er",51.50711486,-0.12731805
