,Book_Title,Author,Rating,Score,People_Voted
0,The Fault in Our Stars,John Green,4.23,"195,861","  and
1,982 people voted"
1,"Divergent (Divergent, #1)",Veronica Roth,4.21,"144,195","  and
1,472 people voted"
2,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,"136,546","  and
1,399 people voted"
3,Gone Girl,Gillian Flynn,4.06,"120,022","  and
1,223 people voted"
4,The Martian,Andy Weir,4.40,"114,305","  and
1,164 people voted"
5,All the Light We Cannot See,Anthony Doerr,4.33,"90,511"," and
924 people voted
  "
6,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.28,"89,721"," and
915 people voted
  "
7,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.33,"85,660"," and
875 people voted
  "
8,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.15,"80,572"," and
835 people voted
  "
9,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,"75,414"," and
779 people voted
  "
10,The Night Circus,Erin Morgenstern,4.04,"72,260"," and
742 people voted
  "
11,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.35,"65,895"," and
678 people voted
  "
12,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.22,"64,395"," and
673 people voted
  "
13,"The Selection (The Selection, #1)",Kiera Cass,4.14,"64,358"," and
668 people voted
  "
14,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,4.32,"62,871"," and
644 people voted
  "
15,Eleanor & Park,Rainbow Rowell,4.08,"60,309"," and
630 people voted
  "
16,"Insurgent (Divergent, #2)",Veronica Roth,4.05,"59,278"," and
619 people voted
  "
17,Room,Emma Donoghue,4.05,"57,526"," and
593 people voted
  "
18,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,3.91,"57,153"," and
600 people voted
  "
19,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.45,"56,227"," and
591 people voted
  "
20,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.59,"54,602"," and
581 people voted
  "
21,11/22/63,Stephen King,4.31,"54,082"," and
553 people voted
  "
22,The Girl on the Train,Paula Hawkins,3.91,"53,871"," and
564 people voted
  "
23,Wonder,R.J. Palacio,4.45,"52,966"," and
554 people voted
  "
24,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.58,"51,809"," and
526 people voted
  "
25,The Goldfinch,Donna Tartt,3.90,"50,791"," and
522 people voted
  "
26,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.29,"44,012"," and
469 people voted
  "
27,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.15,"42,703"," and
455 people voted
  "
28,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.44,"42,610"," and
453 people voted
  "
29,"Legend (Legend, #1)",Marie Lu,4.18,"41,756"," and
447 people voted
  "
30,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,4.38,"41,614"," and
428 people voted
  "
31,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.46,"39,905"," and
428 people voted
  "
32,Fangirl,Rainbow Rowell,4.08,"39,590"," and
422 people voted
  "
33,"Allegiant (Divergent, #3)",Veronica Roth,3.63,"39,232"," and
424 people voted
  "
34,The Nightingale,Kristin Hannah,4.57,"36,352"," and
378 people voted
  "
35,The Ocean at the End of the Lane,Neil Gaiman,eall,"35,451"," and
370 people voted
  "
36,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.67,"35,336"," and
373 people voted
  "
37,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.55,"32,877"," and
358 people voted
  "
38,"Red Queen (Red Queen, #1)",Victoria Aveyard,4.06,"32,310"," and
348 people voted
  "
39,The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.06,"32,309"," and
333 people voted
  "
40,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,4.45,"31,406"," and
343 people voted
  "
41,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,4.03,"30,487"," and
326 people voted
  "
42,"City of Heavenly Fire (The Mortal Instruments, #6)",Cassandra Clare,4.46,"30,435"," and
337 people voted
  "
43,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,"29,756"," and
299 people voted
  "
44,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.26,"29,262"," and
319 people voted
  "
45,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,4.29,"28,186"," and
313 people voted
  "
