,Tweets
0,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
1,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
2,"RT @pendakiloyo: @AttaHalilintar back to ancient times 📵

#matilampulagi 
#matilampu https://t.co/nmOF1FD9tQ"
3,"Gaeeees mati lampu gaeeees.
#matilampulagi #matilampu #matilistrik"
4,"RT @esa_trisaputra: Netijen mulut nya tajem2 bener.
Dikasih hukum Kirchoff juga meninggal lu pada.

 #PLNDown #listrikpadam #matilampu #mat…"
5,"RT @esa_trisaputra: Netijen mulut nya tajem2 bener.
Dikasih hukum Kirchoff juga meninggal lu pada.

 #PLNDown #listrikpadam #matilampu #mat…"
6,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
7,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
8,"RT @MarvixMz: Penyebab mati listrik gengs
#matilampulagi #matilampu #matilistrik https://t.co/KnXmXb93zd"
9,"RT @ReChargeid: #matilampulagi gak jadi alasan smartphone lowbatt, kan udah #AdaReCharge! Siapa yang pakai ReCharge pas mati lampu? Boleh d…"
10,RT @ShopeeCare: Ada yang #matilampulagi ? Info dong daerah mana aja yang masih #matilampu? di tempat mimin cenat cenut kayak tanggal tua ni…
11,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
12,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
13,"RT @OPINI_id: Ternyata mati lampu kita minggu kemarin bukan yang terparah sepanjang sejarah dunia, tapi tetap aja ya banyak kerugian yang d…"
14,Dari pagi sampe malam mati lampu dikampungku...hehe tapinsudah biasa kok #terimakasihpln rimakasihPLN #matilampu… https://t.co/0g1X0mEAUc
15,"Jumat kurang arus, setiap sabtu minggu mati lampu 6 sampai 7 jam di kec. Sei kanan labuhan batu selatan. @pln_123 t… https://t.co/Wmj0KyLT2e"
16,"RT @RobinBisco: #matilampu 
#matilampulagi 
Credit : Achmad Asrory https://t.co/cmcg7PbfnY"
17,"RT @EnergiBangsa: Bro bro @pln_123 biar transmisi kaga gangguan, coba bikin pembangkit listriknya bertenaga kgn :(
#matilampulagi #matilamp…"
18,"RT @OPINI_id: Ternyata mati lampu kita minggu kemarin bukan yang terparah sepanjang sejarah dunia, tapi tetap aja ya banyak kerugian yang d…"
19,"Bukan trending topic Indonesia lagi, ini mah bener-bener sedunia! #MatiLampu #MatiLampuLagi https://t.co/sAjnIqsTft"
20,"RT @OPINI_id: Ternyata mati lampu kita minggu kemarin bukan yang terparah sepanjang sejarah dunia, tapi tetap aja ya banyak kerugian yang d…"
21,"Ternyata mati lampu kita minggu kemarin bukan yang terparah sepanjang sejarah dunia, tapi tetap aja ya banyak kerug… https://t.co/QgHKLb5QH2"
22,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
23,"RT @yejisu00: Indonesian constantly consume a huge amount of energy causing pollution.
Indonesian government: what to do what to do
PLN: te…"
24,"Adzan magrib, malem jumat, lampuku dimatiin @pln_123 😭😭 Nyalain lagi dong pliiisss #matilampu #matilampulagi"
25,Yahhh #matilampu #matilampulagi
