,Id_Buku,Isbn,Judul_Buku,Penulis,Tahun_Publikasi,Total_Ratings,Rataan_Rating,Jumlah_Halaman,Jumlah_Review,Format_Buku,Ebook,Penerbit,Jumlah_Penulis
0,1,439785960,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['J.K. Rowling', 'Mary GrandPré']",2006,1977181,4.56,652,26170,Paperback,False,Scholastic Inc.,2
1,2,439358078,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","['J.K. Rowling', 'Mary GrandPré']",2004,2030160,4.49,870,27662,Paperback,False,Scholastic Inc.,2
2,3,439554934,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","['J.K. Rowling', 'Mary GrandPré']",1997,5750685,4.47,320,70459,Hardcover,False,Scholastic Inc,2
3,4,439554896,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",['J.K. Rowling'],2003,6289,4.41,352,243,Hardcover,False,Scholastic,1
4,5,043965548X,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['J.K. Rowling', 'Mary GrandPré']",2004,2189333,4.56,435,34225,Mass Market Paperback,False,Scholastic Inc.,2
6,8,439682584,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)","['J.K. Rowling', 'Mary GrandPré']",2004,38836,4.78,2690,154,Paperback,False,Scholastic,2
7,9,976540606,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",['W. Frederick Zimmerman'],2005,18,3.69,152,1,Paperback,False,Nimble Books,1
8,10,439827604,"Harry Potter Collection (Harry Potter, #1-6)",['J.K. Rowling'],2005,27560,4.73,3342,798,Hardcover,False,Scholastic,1
10,12,517226952,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",['Douglas Adams'],2005,3607,4.38,815,252,Leather Bound,False,Gramercy Books,1
11,13,345453743,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",['Douglas Adams'],2002,242702,4.38,815,3966,Paperback,False,Del Rey Books,1
12,14,1400052920,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",['Douglas Adams'],2004,4549,4.22,215,425,Hardcover,False,Crown,1
13,16,739322206,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","['Douglas Adams', 'Stephen Fry']",2005,1230,4.22,6,251,Audio CD,False,Random House Audio,2
14,18,517149257,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),['Douglas Adams'],1996,2827,4.38,815,190,Hardcover,False,Wings Books,1
15,21,076790818X,A Short History of Nearly Everything,['Bill Bryson'],2004,233629,4.2,544,8951,Paperback,False,Broadway Books,1
16,22,767915062,Bill Bryson's African Diary,['Bill Bryson'],2002,7045,3.43,55,473,Hardcover,False,Broadway Books,1
17,23,767910435,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,['Bill Bryson'],2004,2028,3.88,256,123,Paperback,False,Broadway Books,1
18,24,767903862,In a Sunburned Country,['Bill Bryson'],2001,69306,4.07,335,4102,Paperback,False,Broadway Books,1
19,25,076790382X,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,['Bill Bryson'],2000,47943,3.9,304,2162,Paperback,False,Broadway Books,1
