movie,year,income,variable,value
Star Wars: Episode VII - The Force Awakens,2015,936.66,First genre,Action
Star Wars: Episode VII - The Force Awakens,2015,936.66,Second genre, Adventure
Star Wars: Episode VII - The Force Awakens,2015,936.66,Last genre,Sci-Fi
Avengers: Endgame,2019,857.72,First genre,Action
Avengers: Endgame,2019,857.72,Second genre, Adventure
Avengers: Endgame,2019,857.72,Last genre,Sci-Fi
Black Panther,2018,700.06,First genre,Action
Black Panther,2018,700.06,Second genre, Adventure
Black Panther,2018,700.06,Last genre,Sci-Fi
Avengers: Infinity War,2018,678.82,First genre,Action
Avengers: Infinity War,2018,678.82,Second genre, Adventure
Avengers: Infinity War,2018,678.82,Last genre,Sci-Fi
Jurassic World,2015,652.27,First genre,Action
Jurassic World,2015,652.27,Second genre, Adventure
Jurassic World,2015,652.27,Last genre,Sci-Fi
The Avengers,2012,623.36,First genre,Action
The Avengers,2012,623.36,Second genre, Adventure
The Avengers,2012,623.36,Last genre,Sci-Fi
Star Wars: Episode VIII - The Last Jedi,2017,620.18,First genre,Action
Star Wars: Episode VIII - The Last Jedi,2017,620.18,Second genre, Adventure
Star Wars: Episode VIII - The Last Jedi,2017,620.18,Last genre,Fantasy
Incredibles 2,2018,608.58,First genre,Animation
Incredibles 2,2018,608.58,Second genre, Action
Incredibles 2,2018,608.58,Last genre,Adventure
Rogue One,2016,532.18,First genre,Action
Rogue One,2016,532.18,Second genre, Adventure
Rogue One,2016,532.18,Last genre,Sci-Fi
Beauty and the Beast,2017,504.01,First genre,Family
Beauty and the Beast,2017,504.01,Second genre, Fantasy
Beauty and the Beast,2017,504.01,Last genre,Musical
Finding Dory,2016,486.3,First genre,Animation
Finding Dory,2016,486.3,Second genre, Adventure
Finding Dory,2016,486.3,Last genre,Comedy
Avengers: Age of Ultron,2015,459.01,First genre,Action
Avengers: Age of Ultron,2015,459.01,Second genre, Adventure
Avengers: Age of Ultron,2015,459.01,Last genre,Sci-Fi
The Lion King,2019,453.1,First genre,Animation
The Lion King,2019,453.1,Second genre, Adventure
The Lion King,2019,453.1,Last genre,Drama
The Dark Knight Rises,2012,448.14,First genre,Action
The Dark Knight Rises,2012,448.14,Second genre, Thriller            
