,movie,year,imdb,metascore,votes,duration (min),directors,genres,income
0,Star Wars: Episode VII - The Force Awakens,2015,8.0,81,790474,136,J.J. Abrams,"
Action, Adventure, Sci-Fi            ",936.66
1,Mad Max: Fury Road,2015,8.1,90,789693,120,George Miller,"
Action, Adventure, Sci-Fi            ",154.06
2,The Martian,2015,8.0,80,688609,144,Ridley Scott,"
Adventure, Drama, Sci-Fi            ",228.43
3,Avengers: Age of Ultron,2015,7.3,66,676003,141,Joss Whedon,"
Action, Adventure, Sci-Fi            ",459.01
4,The Revenant,2015,8.0,76,629574,156,Alejandro G. Iñárritu,"
Action, Adventure, Biography            ",183.64
5,Inside Out,2015,8.2,94,544555,95,"
Pete Docter, 
Ronnie Del Carmen","
Animation, Adventure, Comedy            ",356.46
6,Jurassic World,2015,7.0,59,543949,124,Colin Trevorrow,"
Action, Adventure, Sci-Fi            ",652.27
7,Ant-Man,2015,7.3,64,510972,117,Peyton Reed,"
Action, Adventure, Comedy            ",180.2
8,The Hateful Eight,2015,7.8,68,445183,168,Quentin Tarantino,"
Crime, Drama, Mystery            ",54.12
9,Spotlight,2015,8.1,93,370312,129,Tom McCarthy,"
Biography, Crime, Drama            ",45.06
10,Spectre,2015,6.8,60,355283,148,Sam Mendes,"
Action, Adventure, Thriller            ",200.07
11,Furious Seven,2015,7.2,67,337984,137,James Wan,"
Action, Adventure, Thriller            ",353.01
12,Sicario,2015,7.6,82,332675,121,Denis Villeneuve,"
Action, Crime, Drama            ",46.89
13,Room,2015,8.2,86,321901,118,Lenny Abrahamson,"
Drama, Thriller            ",14.68
14,Mission: Impossible - Rogue Nation,2015,7.4,75,315226,131,Christopher McQuarrie,"
Action, Adventure, Thriller            ",195.04
15,The Big Short,2015,7.8,81,313610,130,Adam McKay,"
Biography, Comedy, Drama            ",70.26
16,Fifty Shades of Grey,2015,4.1,46,281045,125,Sam Taylor-Johnson,"
Drama, Romance, Thriller            ",166.17
17,Bridge of Spies,2015,7.6,81,265322,142,Steven Spielberg,"
Drama, History, Thriller            ",72.31
18,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,255914,137,Francis Lawrence,"
Action, Adventure, Sci-Fi            ",281.72
19,The Man from U.N.C.L.E.,2015,7.3,56,243017,116,Guy Ritchie,"
Action, Adventure, Comedy            ",45.45
20,Terminator Genisys,2015,6.4,38,236680,126,Alan Taylor,"
Action, Adventure, Sci-Fi            ",89.76
21,Creed,2015,7.6,82,227387,133,Ryan Coogler,"
Drama, Sport            ",109.77
22,Spy,2015,7.0,75,215492,119,Paul Feig,"
Action, Comedy, Crime            ",110.83
23,Chappie,2015,6.8,41,215308,120,Neill Blomkamp,"
Action, Crime, Drama            ",31.57
24,Maze Runner: The Scorch Trials,2015,6.3,43,203266,131,Wes Ball,"
Action, Sci-Fi, Thriller            ",81.7
25,Southpaw,2015,7.4,57,201811,124,Antoine Fuqua,"
Drama, Sport            ",52.42
26,Insurgent,2015,6.2,42,201517,119,Robert Schwentke,"
Action, Adventure, Sci-Fi            ",130.18
27,Minions,2015,6.4,56,196187,91,"
Kyle Balda, 
Pierre Coffin","
Animation, Adventure, Comedy            ",336.05
28,San Andreas,2015,6.1,43,194922,114,Brad Peyton,"
Action, Adventure, Drama            ",155.19
29,Focus,2015,6.6,56,193935,105,"
Glenn Ficarra, 
John Requa","
Comedy, Crime, Drama            ",53.86
